ch_name,city,lat_and_lon
上海市黄浦区丽园路873号,上海,"121.476114,31.206754"
上海市黄浦区丽园路871号,上海,"121.476123,31.206884"
上海市黄浦区蒙自西路28弄3号,上海,"121.476347,31.207248"
上海市黄浦区南仓街40弄,上海,"121.50027,31.214127"
上海市黄浦区顺昌路612弄36号,上海,"121.479423,31.211192"
上海市黄浦区鲁班路388弄5号,上海,"121.474504,31.202214"
上海市黄浦区兴安路98弄,上海,"121.470795,31.221113"
上海市黄浦区蓬莱路405弄,上海,"121.487167,31.216835"
上海市黄浦区四牌楼路79号,上海,"121.495423,31.224137"
上海市黄浦区蒙自路601弄,上海,"121.481454,31.199836"
上海市黄浦区局门后路62号,上海,"121.481144,31.208353"
上海市黄浦区淡水路332弄5号,上海,"121.473137,31.214444"
上海市黄浦区中华路868弄30-35号。,上海,"121.494765,31.214683"
