ch_name,city,lat_and_lon
上海市嘉定区曹安公路1948号,上海,"121.26939,31.273551"
上海市嘉定区宝钱公路3488弄,上海,"121.192364,31.411816"
上海市嘉定区北和公路1650号,上海,"121.17941,31.424659"
上海市嘉定区城北路3980号,上海,"121.195307,31.448587"
上海市嘉定区兴荣路811号,上海,"121.198225,31.429362"
上海市嘉定区中大街140弄,上海,"121.217032,31.430785"
上海市嘉定区城中路35号,上海,"121.252751,31.376724"
上海市嘉定区曹安公路1615号,上海,"121.366729,31.251035"
上海市嘉定区曹安公路1718号,上海,"121.36436,31.25383"
上海市嘉定区曹安公路1777号,上海,"121.363675,31.252585"
上海市嘉定区曹安公路2291号,上海,"121.34286,31.259576"
上海市嘉定区海波路850弄,上海,"121.331122,31.270041"
上海市嘉定区鹤霞路555弄,上海,"121.31528,31.24502"
上海市嘉定区华江公路370号,上海,"121.335338,31.249788"
上海市嘉定区金耀南路299弄,上海,"121.309863,31.236027"
上海市嘉定区金园一路1118弄,上海,"121.312096,31.246853"
上海市嘉定区金园一路555号,上海,"121.317586,31.257002"
上海市嘉定区临夏路256弄,上海,"121.323618,31.258532"
上海市嘉定区临夏路801弄,上海,"121.327105,31.256856"
上海市嘉定区环城路160弄,上海,"121.256133,31.393529"
上海市嘉定区嘉安公路1735号,上海,"121.214599,31.347755"
上海市嘉定区平城路388号,上海,"121.25585,31.402078"
上海市嘉定区秋竹路119弄,上海,"121.219598,31.383548"
上海市嘉定区秋竹路816号,上海,"121.219418,31.383597"
上海市嘉定区双坪路285弄,上海,"121.269312,31.405782"
上海市嘉定区双单路718弄,上海,"121.264131,31.333368"
上海市嘉定区槎溪路650弄,上海,"121.323486,31.288057"
上海市嘉定区丰庄北路431号,上海,"121.366718,31.249468"
上海市嘉定区嘉定工业区草庵村、陆渡村、旺泾村、朱家桥村,上海,"121.189967,31.407594"
上海市嘉定区江桥镇高榆新村、江桥一村、五四村、增建村,上海,"121.325973,31.253252"
上海市嘉定区南翔镇新丰村。,上海,"121.301795,31.320641"
