ch_name,city,lat_and_lon
上海市闵行区报春路862弄,上海,"121.374375,31.121888"
上海市闵行区北青公路2055弄58支弄,上海,"121.306539,31.218507"
上海市闵行区北沈路260弄,上海,"121.335595,31.229087"
上海市闵行区北翟路2900弄,上海,"121.32433,31.22213"
上海市闵行区碧江路401弄,上海,"121.40194,31.011628"
上海市闵行区碧江路501弄,上海,"121.399999,31.014902"
上海市闵行区碧江路502弄,上海,"121.399504,31.014903"
上海市闵行区沧源路755弄,上海,"121.429699,31.014681"
上海市闵行区曹行村,上海,"121.44557,31.095559"
上海市闵行区漕宝路1467弄,上海,"121.379617,31.158742"
上海市闵行区春申路1717弄,上海,"121.428887,31.113058"
上海市闵行区灯辉路1169弄,上海,"121.415217,31.030633"
上海市闵行区东川路2626弄,上海,"121.402055,31.009931"
上海市闵行区东川路2718弄,上海,"121.399864,31.009102"
上海市闵行区东川路800号,上海,"121.437279,31.024347"
上海市闵行区东川路811弄,上海,"121.43333,31.01802"
上海市闵行区东兰路751弄,上海,"121.390736,31.153906"
上海市闵行区顾戴路35弄,上海,"121.408307,31.146278"
上海市闵行区行南村,上海,"121.427627,31.115935"
上海市闵行区鹤庆路411弄,上海,"121.413384,31.00663"
上海市闵行区红松路528号,上海,"121.375125,31.182375"
上海市闵行区虹梅南路1555弄,上海,"121.425014,31.117503"
上海市闵行区虹梅南路1781弄,上海,"121.428221,31.106884"
上海市闵行区虹梅南路2555弄,上海,"121.428994,31.097863"
上海市闵行区虹梅南路2638弄,上海,"121.434886,31.096079"
上海市闵行区沪光路39弄,上海,"121.4218,31.080908"
上海市闵行区沪闵路3131弄,上海,"121.412188,31.054736"
上海市闵行区华宁路1399弄,上海,"121.392608,31.024331"
上海市闵行区华展路168弄,上海,"121.452434,31.11196"
上海市闵行区建设路39弄,上海,"121.424251,30.998484"
上海市闵行区剑川路150弄,上海,"121.465556,31.041659"
上海市闵行区江航路60弄,上海,"121.538929,31.04669"
上海市闵行区金汇路588弄,上海,"121.37348,31.183677"
上海市闵行区金平路555弄,上海,"121.413706,31.017971"
上海市闵行区金平路777弄,上海,"121.40832,31.02066"
上海市闵行区金阳路116弄,上海,"121.417199,31.036794"
上海市闵行区景谷中路58弄,上海,"121.416412,31.019843"
上海市闵行区黎安路380弄,上海,"121.374434,31.132027"
上海市闵行区龙柏二村,上海,"121.362198,31.181689"
上海市闵行区龙柏四村,上海,"121.363278,31.1786"
上海市闵行区龙柏七村,上海,"121.362643,31.173924"
上海市闵行区龙吴路5413弄,上海,"121.465131,31.046794"
上海市闵行区龙吴路5511弄,上海,"121.466472,31.044328"
上海市闵行区龙吴路5599弄,上海,"121.466086,31.039358"
上海市闵行区罗秀路1501号,上海,"121.414574,31.127768"
上海市闵行区梅陇一村,上海,"121.412403,31.136443"
上海市闵行区民建村,上海,"121.455265,31.095645"
上海市闵行区南江燕路229弄,上海,"121.50386,31.078931"
上海市闵行区平南一村,上海,"121.394711,31.153476"
上海市闵行区平阳路1375弄,上海,"121.385794,31.134694"
上海市闵行区浦连路282弄,上海,"121.54066,31.055417"
上海市闵行区浦涛路100弄,上海,"121.542202,31.051983"
上海市闵行区曲吴路175弄,上海,"121.4598,31.05473"
上海市闵行区上中西路925弄,上海,"121.412912,31.129243"
上海市闵行区尚义路229弄,上海,"121.44974,31.042361"
上海市闵行区莘朱路820弄,上海,"121.391078,31.109922"
上海市闵行区塘口村,上海,"121.48053,31.08824"
上海市闵行区塘湾村,上海,"121.442667,31.055206"
上海市闵行区万源路580弄,上海,"121.398256,31.143514"
上海市闵行区王泥浜村,上海,"121.313471,31.225651"
上海市闵行区吴河路328号,上海,"121.431619,31.043152"
上海市闵行区向阳路228弄,上海,"121.4376,31.07584"
上海市闵行区新建村,上海,"121.444154,31.064286"
上海市闵行区许泾村,上海,"121.437582,31.08005"
上海市闵行区杨家巷村,上海,"121.302076,31.223812"
上海市闵行区宜山路2328弄,上海,"121.379693,31.167111"
上海市闵行区银春路1799弄,上海,"121.39594,31.022957"
上海市闵行区银春路1800弄,上海,"121.393189,31.028118"
上海市闵行区银都路2688弄,上海,"121.405412,31.096708"
上海市闵行区银林路1002弄,上海,"121.370459,31.017329"
上海市闵行区银林路100弄,上海,"121.376997,31.017948"
上海市闵行区友好村,上海,"121.39174,30.995151"
上海市闵行区元江路4805弄,上海,"121.36985,31.03995"
上海市闵行区闸航路2715号。,上海,"121.532121,31.019418"
