ch_name,city,lat_and_lon
上海市闵行区报春路816弄,上海,"121.377703,31.121386"
上海市闵行区报春路817弄,上海,"121.377513,31.119973"
上海市闵行区报春路863弄,上海,"121.376318,31.119045"
上海市闵行区碧江路401弄,上海,"121.40194,31.011628"
上海市闵行区曹家塘路220弄,上海,"121.44499,31.041107"
上海市闵行区曹中村,上海,"121.432971,31.088564"
上海市闵行区漕宝路1467弄,上海,"121.379617,31.158742"
上海市闵行区昌林路430弄,上海,"121.518,31.064919"
上海市闵行区东川路500号,上海,"121.451496,31.033435"
上海市闵行区东川路800号,上海,"121.437279,31.024347"
上海市闵行区放鹤路2323弄,上海,"121.42208,31.04327"
上海市闵行区放鹤路2号,上海,"121.477098,31.05115"
上海市闵行区富国路355弄,上海,"121.37754,31.025737"
上海市闵行区富卓路789弄,上海,"121.383956,31.021093"
上海市闵行区共和村,上海,"121.464682,31.049725"
上海市闵行区顾戴路1325弄,上海,"121.38432,31.135519"
上海市闵行区光继村,上海,"121.5344,31.002635"
上海市闵行区虹井路618弄,上海,"121.369588,31.183892"
上海市闵行区虹梅南路1008号,上海,"121.42433,31.1241"
上海市闵行区虹梅南路1781弄,上海,"121.428221,31.106884"
上海市闵行区虹梅南路2555弄,上海,"121.428994,31.097863"
上海市闵行区虹梅南路788号,上海,"121.422778,31.12591"
上海市闵行区虹梅南路990号,上海,"121.423865,31.124526"
上海市闵行区虹中路480弄,上海,"121.380739,31.18667"
上海市闵行区沪光路39弄,上海,"121.4218,31.080908"
上海市闵行区沪闵路3131弄,上海,"121.412188,31.054736"
上海市闵行区汇东村,上海,"121.560905,31.017374"
上海市闵行区剑川路100弄,上海,"121.472924,31.043688"
上海市闵行区剑川路121弄,上海,"121.46964,31.041279"
上海市闵行区剑川路150弄,上海,"121.465556,31.041659"
上海市闵行区剑川路198弄,上海,"121.46262,31.04188"
上海市闵行区剑川路综合服务中心工地宿舍,上海,"121.35336,31.00692"
上海市闵行区江川路241弄,上海,"121.423913,31.003917"
上海市闵行区江川路248弄,上海,"121.421634,31.005975"
上海市闵行区江柳路888弄,上海,"121.486183,31.098712"
上海市闵行区金阳路116弄,上海,"121.417199,31.036794"
上海市闵行区景谷中路58弄,上海,"121.416412,31.019843"
上海市闵行区老沪闵路1351弄,上海,"121.432942,31.113094"
上海市闵行区老沪闵路1498弄,上海,"121.434516,31.110169"
上海市闵行区老沪闵路2259弄,上海,"121.414086,31.09327"
上海市闵行区黎安路486号,上海,"121.371781,31.130148"
上海市闵行区莲花南路1111弄,上海,"121.411665,31.106036"
上海市闵行区莲花南路155弄,上海,"121.405985,31.13145"
上海市闵行区莲花南路988弄,上海,"121.4074,31.11116"
上海市闵行区联航路2165弄,上海,"121.503078,31.071964"
上海市闵行区龙吴路3355号,上海,"121.456234,31.093969"
上海市闵行区龙吴路5511弄,上海,"121.466472,31.044328"
上海市闵行区龙吴路5530弄,上海,"121.468962,31.042555"
上海市闵行区龙州南路58弄,上海,"121.42937,31.122628"
上海市闵行区芦胜村,上海,"121.480641,31.107911"
上海市闵行区罗秀路1339弄,上海,"121.419377,31.128597"
上海市闵行区罗秀路1501号,上海,"121.414574,31.127768"
上海市闵行区罗秀路1955弄,上海,"121.402733,31.126423"
上海市闵行区罗秀路1980弄,上海,"121.402347,31.129129"
上海市闵行区梅陇二村,上海,"121.411615,31.131153"
上海市闵行区闵驰一路197弄,上海,"121.540874,31.039743"
上海市闵行区瓶北路479弄,上海,"121.398076,31.051161"
上海市闵行区浦驰南路238弄,上海,"121.505956,31.068785"
上海市闵行区浦连路388弄,上海,"121.535889,31.05498"
上海市闵行区浦涛路100弄,上海,"121.542202,31.051983"
上海市闵行区普杰路69弄,上海,"121.422017,31.116214"
上海市闵行区普乐路425弄,上海,"121.424495,31.114626"
上海市闵行区普乐路665弄,上海,"121.420878,31.118116"
上海市闵行区七莘路1818弄,上海,"121.363473,31.138832"
上海市闵行区瑞丽路61弄,上海,"121.410263,31.004217"
上海市闵行区山花路108弄,上海,"121.383747,31.120709"
上海市闵行区上中西路1011弄,上海,"121.410062,31.129917"
上海市闵行区上中西路738弄,上海,"121.416633,31.132169"
上海市闵行区上中西路855弄,上海,"121.415457,31.129211"
上海市闵行区上中西路925弄,上海,"121.412912,31.129243"
上海市闵行区尚义路229弄,上海,"121.44974,31.042361"
上海市闵行区申滨路1058弄,上海,"121.308298,31.210731"
上海市闵行区莘松路958弄,上海,"121.354016,31.106292"
上海市闵行区莘朱路1760弄,上海,"121.420337,31.121378"
上海市闵行区疏影路1111弄,上海,"121.362027,31.115509"
上海市闵行区疏影路758弄,上海,"121.367001,31.120281"
上海市闵行区曙建路185弄,上海,"121.419011,31.090171"
上海市闵行区水清路1100弄,上海,"121.376397,31.128929"
