ch_name,city,lat_and_lon
上海市普陀区梅川路141弄,上海,"121.402288,31.239126"
上海市普陀区真金路250弄,上海,"121.40555,31.267821"
上海市普陀区真南路744弄,上海,"121.38623,31.26999"
上海市普陀区真南路1111号,上海,"121.377807,31.270926"
上海市普陀区华联路130弄,上海,"121.347429,31.276598"
上海市普陀区真北路3725弄,上海,"121.400552,31.2861"
上海市普陀区新村路424号,上海,"121.428263,31.265235"
上海市普陀区曹杨路1021号,上海,"121.408863,31.243861"
上海市普陀区南大街东江海小区,上海,"121.401038,31.246356"
上海市普陀区新村路1388弄,上海,"121.413814,31.264323"
上海市普陀区雪松路458弄,上海,"121.354509,31.288427"
上海市普陀区梅川路1333弄,上海,"121.378481,31.244301"
上海市普陀区宜川三村,上海,"121.442705,31.258085"
上海市普陀区金迈路358弄,上海,"121.329556,31.287285"
上海市普陀区靖边路199弄,上海,"121.367804,31.261839"
"上海市普陀区绿杨路51弄,",上海,"121.345962,31.284091"
上海市普陀区武威路1087弄。,上海,"121.352934,31.280411"
