ch_name,city,lat_and_lon
上海市嘉定区安虹路299弄,上海,"121.196624,31.277267"
上海市嘉定区墨玉路388弄,上海,"121.163232,31.299118"
上海市嘉定区城北路3980号,上海,"121.195307,31.448587"
上海市嘉定区大北街208号,上海,"121.213622,31.430151"
上海市嘉定区高台路560弄,上海,"121.253736,31.352337"
上海市嘉定区恒飞路488弄,上海,"121.16103,31.36602"
上海市嘉定区娄塘路864弄,上海,"121.21715,31.4305"
上海市嘉定区南新路626弄,上海,"121.216879,31.42756"
上海市嘉定区塔城路688弄,上海,"121.238743,31.374749"
上海市嘉定区嘉唐公路626号,上海,"121.235814,31.4083"
上海市嘉定区吴杨路100弄,上海,"121.298041,31.26878"
上海市嘉定区海波路333弄,上海,"121.340369,31.266394"
上海市嘉定区海川路58弄,上海,"121.349444,31.26624"
上海市嘉定区华江支路328弄,上海,"121.340276,31.259794"
上海市嘉定区华江支路677弄,上海,"121.338199,31.264128"
上海市嘉定区金园一路1115弄,上海,"121.319573,31.244772"
上海市嘉定区金园一路1118弄,上海,"121.312096,31.246853"
上海市嘉定区嘉涌路88号,上海,"121.337007,31.26939"
上海市嘉定区临夏路800弄,上海,"121.32818,31.257787"
上海市嘉定区环城路160弄,上海,"121.256133,31.393529"
上海市嘉定区环城路600弄,上海,"121.252161,31.394291"
上海市嘉定区汇源路218弄,上海,"121.198293,31.410461"
上海市嘉定区秋竹路801弄,上海,"121.218974,31.382928"
上海市嘉定区安亭镇老宅村,上海,"121.225509,31.28696"
上海市嘉定区嘉定镇街道桃园小区,上海,"121.244538,31.387905"
上海市嘉定区马陆镇马陆塘街、马陆汽配城,上海,"121.263955,31.323129"
上海市嘉定区江桥镇五四村、红光村、增建村,上海,"121.290151,31.242066"
上海市嘉定区嘉定工业区草庵村、灯塔村、旺泾村、陆渡村,上海,"121.186563,31.41661"
上海市嘉定区徐行镇徐行村,上海,"121.274294,31.419314"
上海市嘉定区华亭镇唐行石村。,上海,"121.249873,31.455225"
