ch_name,city,lat_and_lon
上海市松江区白粮路189弄,上海,"121.227747,31.032243"
上海市松江区场南路1弄,上海,"121.360103,31.089821"
上海市松江区车亭公路1142号,上海,"121.317902,30.957082"
上海市松江区陈春公路801弄,上海,"121.337001,31.070181"
上海市松江区陈春路677弄,上海,"121.336486,31.072668"
上海市松江区崇南公路599弄,上海,"121.142362,31.027261"
上海市松江区古楼公路656弄,上海,"121.260597,31.117171"
上海市松江区沪松路7弄,上海,"121.24359,31.014794"
上海市松江区沪亭北路501弄,上海,"121.314988,31.149432"
上海市松江区沪亭路240弄,上海,"121.326556,31.133286"
上海市松江区沪亭南路299弄,上海,"121.333597,31.123093"
上海市松江区花园路16号,上海,"121.478379,31.269679"
上海市松江区花园路1号,上海,"121.325012,31.126236"
上海市松江区汇桥村,上海,"121.333981,31.009709"
上海市松江区九杜路350弄,上海,"121.31265,31.14291"
上海市松江区九亭大街1106号,上海,"121.314126,31.126728"
上海市松江区九亭大街641弄,上海,"121.324066,31.126424"
上海市松江区九亭大街900弄,上海,"121.316851,31.126491"
上海市松江区九新公路2388号,上海,"121.312679,31.070218"
上海市松江区涞坊路288弄,上海,"121.314786,31.155842"
上海市松江区涞坊路333弄,上海,"121.317723,31.152015"
上海市松江区涞坊路45号,上海,"121.323824,31.156071"
上海市松江区涞亭北路600弄,上海,"121.326661,31.156124"
上海市松江区涞亭北路99弄,上海,"121.32892,31.149339"
上海市松江区涞亭南路1600弄,上海,"121.340913,31.118146"
上海市松江区涞亭南路289弄,上海,"121.338511,31.136939"
上海市松江区涞亭南路888弄,上海,"121.339244,31.125262"
上海市松江区涞寅路106号,上海,"121.324876,31.150471"
上海市松江区涞寅路658弄,上海,"121.313401,31.145701"
上海市松江区乐都西路1629弄,上海,"121.188568,31.01084"
上海市松江区连富路828号,上海,"121.306128,31.114926"
上海市松江区明华路1077弄,上海,"121.340819,31.073446"
上海市松江区明兴路595弄,上海,"121.33731,31.08772"
上海市松江区书林路600号,上海,"121.314985,31.042121"
上海市松江区徐塘路500号,上海,"121.273936,31.046846"
上海市松江区银都西路198弄,上海,"121.36669,31.082733"
上海市松江区长兴路390弄,上海,"121.27337,31.083302"
上海市松江区中心路120号。,上海,"121.3317,31.10261"
