ch_name,city,lat_and_lon
上海市徐汇区梅陇九村,上海,"121.420854,31.13867"
上海市徐汇区安福路163号,上海,"121.444726,31.21415"
上海市徐汇区梅陇路130号,上海,"121.420309,31.141845"
上海市徐汇区桂林西街15弄,上海,"121.415319,31.156891"
上海市徐汇区梅陇十一村,上海,"121.427352,31.132682"
上海市徐汇区田林三村,上海,"121.424043,31.171027"
上海市徐汇区田林四村,上海,"121.423324,31.170902"
上海市徐汇区桂林西街151弄,上海,"121.421236,31.152341"
上海市徐汇区老沪闵路1070弄,上海,"121.437615,31.128131"
上海市徐汇区龙吟路455弄,上海,"121.452925,31.113486"
上海市徐汇区梅陇五村,上海,"121.422401,31.134981"
上海市徐汇区肇嘉浜路669弄,上海,"121.452161,31.199775"
上海市徐汇区日晖七村,上海,"121.459264,31.197549"
上海市徐汇区长桥五村,上海,"121.439057,31.138139"
上海市徐汇区罗城路799弄,上海,"121.432474,31.147896"
上海市徐汇区东兰路121弄,上海,"121.397899,31.155748"
上海市徐汇区日晖二村,上海,"121.465914,31.193784"
上海市徐汇区江安路55弄,上海,"121.414965,31.14948"
上海市徐汇区康健路105弄,上海,"121.427685,31.166024"
上海市徐汇区田林路65弄,上海,"121.419324,31.170461"
上海市徐汇区桂林西街111弄,上海,"121.419712,31.151445"
上海市徐汇区康健路100弄,上海,"121.427308,31.164644"
上海市徐汇区桂林西街201弄,上海,"121.422519,31.152505"
上海市徐汇区康健路77弄,上海,"121.430344,31.166281"
上海市徐汇区浦北路21弄,上海,"121.427085,31.156848"
上海市徐汇区龙吴路2588弄,上海,"121.457386,31.114427"
上海市徐汇区桂林西街9弄,上海,"121.419885,31.156769"
上海市徐汇区龙吴路2418弄,上海,"121.457131,31.119494"
上海市徐汇区冠生园路230弄,上海,"121.426579,31.163509"
上海市徐汇区裕德路66弄,上海,"121.434969,31.184547"
上海市徐汇区浦北路959弄,上海,"121.413789,31.150673"
上海市徐汇区桂林西街14弄,上海,"121.418189,31.155666"
上海市徐汇区钦州南路917弄,上海,"121.412837,31.154626"
上海市徐汇区桂林西街47弄,上海,"121.415483,31.1542"
上海市徐汇区钦州南路381弄,上海,"121.424867,31.158419"
上海市徐汇区桂林西街30弄,上海,"121.41781,31.154461"
上海市徐汇区桂平路257弄,上海,"121.406176,31.157189"
上海市徐汇区宛平南路170弄,上海,"121.445587,31.193911"
上海市徐汇区华发路100弄,上海,"121.45206,31.127204"
上海市徐汇区龙恒路31弄,上海,"121.452064,31.168924"
上海市徐汇区天钥桥南路1199弄,上海,"121.456811,31.152092"
上海市徐汇区龙华西路21弄,上海,"121.448802,31.167273"
上海市徐汇区龙华西路31弄,上海,"121.45013,31.169994"
上海市徐汇区罗城路651弄,上海,"121.436125,31.14803"
上海市徐汇区龙恒路290号,上海,"121.448722,31.166394"
上海市徐汇区丰谷路285弄,上海,"121.455189,31.167069"
上海市徐汇区龙水北路960弄,上海,"121.447196,31.172121"
上海市徐汇区龙南三村,上海,"121.457193,31.155648"
上海市徐汇区漕溪四村,上海,"121.4398,31.171446"
上海市徐汇区钦州南路8弄,上海,"121.427383,31.162532"
上海市徐汇区长桥四村,上海,"121.437979,31.134934"
上海市徐汇区日晖六村,上海,"121.461862,31.193517"
上海市徐汇区桂林东街99弄,上海,"121.425119,31.155254"
上海市徐汇区宛平南路420弄,上海,"121.447143,31.189853"
上海市徐汇区长桥五村,上海,"121.439057,31.138139"
上海市徐汇区龙吴路1343弄,上海,"121.450089,31.137071"
上海市徐汇区园南二村,上海,"121.442869,31.14109"
上海市徐汇区园南一村,上海,"121.439708,31.141863"
上海市徐汇区罗秀三村,上海,"121.4466,31.134198"
上海市徐汇区梅陇四村,上海,"121.421361,31.136436"
上海市徐汇区瑞金南路570号,上海,"121.468675,31.197924"
上海市徐汇区东泉路50弄,上海,"121.445064,31.157341"
上海市徐汇区龙吴路555弄,上海,"121.449246,31.157124"
上海市徐汇区桂林东街28弄,上海,"121.423384,31.154414"
上海市徐汇区虹漕路19弄,上海,"121.409381,31.165617"
上海市徐汇区江南二村,上海,"121.462819,31.192294"
上海市徐汇区罗秀路1175弄,上海,"121.422877,31.129274"
上海市徐汇区老沪闵路1055弄,上海,"121.434098,31.129185"
上海市徐汇区罗秀新村,上海,"121.447867,31.132118"
上海市徐汇区东泉路12号,上海,"121.444333,31.156534"
上海市徐汇区罗秀二村,上海,"121.447867,31.132118"
上海市徐汇区汇成一村,上海,"121.432129,31.146969"
上海市徐汇区龙华路2518弄,上海,"121.453887,31.178562"
上海市徐汇区天钥桥路380弄,上海,"121.441433,31.188079"
上海市徐汇区东兰路51弄,上海,"121.401989,31.156721"
上海市徐汇区龙吴路1717弄,上海,"121.453004,31.131703"
上海市徐汇区华发路99弄,上海,"121.453712,31.125698"
上海市徐汇区浦北路21弄,上海,"121.427085,31.156848"
上海市徐汇区机场新村。,上海,"121.450483,31.166631"
