ch_name,city,lat_and_lon
上海市静安区柳营路309弄,上海,"121.464008,31.268704"
上海市静安区江场西路1366弄,上海,"121.425602,31.295417"
上海市静安区永和路880弄,上海,"121.428706,31.287215"
上海市静安区永兴路595弄,上海,"121.466318,31.25206"
上海市静安区民和路218号,上海,"121.464428,31.267056"
上海市静安区洛川东路99弄,上海,"121.46578,31.27231"
上海市静安区武定路44弄,上海,"121.458412,31.237384"
上海市静安区康定东路13弄,上海,"121.457607,31.236567"
上海市静安区江宁路363弄,上海,"121.452138,31.233512"
上海市静安区芷江西路123弄,上海,"121.465367,31.259435"
上海市静安区大统路938弄,上海,"121.459152,31.254043"
上海市静安区芷江西路393弄,上海,"121.458619,31.258147"
上海市静安区普善路239弄,上海,"121.4574,31.259435"
上海市静安区普善路铁路新村12号,上海,"121.454338,31.255786"
上海市静安区高平路598弄,上海,"121.429039,31.287933"
上海市静安区灵石路737弄,上海,"121.439083,31.284388"
上海市静安区新闸路1124弄,上海,"121.454564,31.233154"
上海市静安区中山北路805弄,上海,"121.457676,31.262"
上海市静安区普善路390弄,上海,"121.453494,31.260526"
上海市静安区中山北路899弄,上海,"121.455516,31.261153"
上海市静安区彭江路51号,上海,"121.46022,31.284807"
上海市静安区中华新路940号,上海,"121.454403,31.25424"
上海市静安区普善路铁路新村27号,上海,"121.453572,31.256327"
上海市静安区海防路100弄,上海,"121.450102,31.240311"
上海市静安区场中路1011弄,上海,"121.465187,31.30631"
上海市静安区中华新路939弄,上海,"121.455049,31.254744"
上海市静安区柳营路1025弄,上海,"121.451029,31.262327"
上海市静安区武定路80弄,上海,"121.455311,31.235265"
上海市静安区原平路917弄,上海,"121.430632,31.295296"
上海市静安区曲沃路66弄,上海,"121.444819,31.311963"
上海市静安区康定路758弄,上海,"121.44242,31.232239"
上海市静安区万荣路970弄,上海,"121.441801,31.288493"
上海市静安区高平路809弄,上海,"121.425917,31.290904"
上海市静安区场中路2765弄,上海,"121.439214,31.30524"
上海市静安区江杨南路466弄,上海,"121.46807,31.316591"
上海市静安区平顺路721弄,上海,"121.452206,31.316731"
上海市静安区长临路380弄,上海,"121.433649,31.319855"
上海市静安区平型关路351号。,上海,"121.463276,31.271548"
